Date,SCHD,SPY,QQQ,QLD,UPRO,TQQQ,TLT,IEF,SHY,IAU,SGOV
1980-08-19,155.58415910340747,173.95018411405272,304.42320554162933,916.4672524133355,535.6246310819931,2762.470424857301,90.06245358930485,95.56013266647885,99.22372575130237,273.8679067222358,150.87053671887426
1980-08-20,156.76094826145902,175.5995930275655,306.9481912871089,931.6562412512436,551.1701586031205,2831.338692777568,90.03800110650276,95.54887432155186,99.22171967916573,283.1598610444395,150.9279716797774
1980-08-21,158.4567122340013,177.98190446802613,310.9719836396681,956.1179293840535,574.1526612282495,2943.4285817365912,90.01357705719217,95.5376273398952,99.21971543627339,280.1913118504092,150.98499972153348
1980-08-22,159.01757535794917,178.77125958928048,314.20341235094486,975.99096554719,581.9069870092645,3035.551240677003,90.35812267556648,95.69612707946816,99.24794251002955,279.8199234631393,151.04443915419893
1980-08-25,158.15604039643142,177.55903102690104,313.9867441063017,974.6521114019057,570.0271439769573,3029.3152934917107,89.86762660845213,95.47038287426471,99.20772820908617,274.35220305118247,151.10292115239443
1980-08-26,157.83514732294736,177.1079416914772,315.4494324747775,983.7082230404626,565.6483033587662,3071.578709807275,89.81920130104511,95.4480579871669,99.20374695224984,277.21819704422455,151.16289761526195
1980-08-27,156.50969101962332,175.24716305820215,315.01600211452273,981.020331305547,547.823477315839,3059.0144420877527,89.4357807076847,95.27105353430214,99.17215394076177,278.1477896576663,151.2238794881567
1980-08-28,155.06040017962422,173.2170849100464,312.9215139580871,968.083051952227,528.810618306832,2998.780605055419,89.0826120380603,95.107634278054,99.14294251230294,278.3336541089031,151.28568383726926
1980-08-29,155.36262226638235,173.64002545982044,313.8784123567395,973.9830418527353,532.7346316892834,3026.2005831428205,89.53097846770638,95.31504119227863,99.18000970775253,279.0769321927371,151.34904844785729
1980-09-02,156.7308041604309,175.5573033919297,315.3591289586573,983.1479096042294,550.7678540974804,3068.9581710908406,89.9891813830128,95.52639169992733,99.21771301932924,280.56262890205556,151.41022826899427
1980-09-03,159.11768178097296,178.91222272215066,319.31520772093245,1007.8434243179544,583.2990991660151,3185.159981177588,90.43269306820002,95.73038629497466,99.25403861153839,279.8199234631393,151.4708797652061
1980-09-04,158.41662971799022,177.92551956453804,320.254863107739,1013.7539428525984,573.6014226312661,3213.1835046768606,90.28381515688923,95.66197270900871,99.2418632648161,285.3833139012033,151.53075637895367
1980-09-05,157.87526824464751,177.16432826122985,321.26691745942355,1020.1390890057814,566.19442524045,3243.5489432358268,90.16054902867711,95.60528011263918,99.23176839852651,284.2719025529475,151.59071816153042
1980-09-08,156.29855463838422,174.95111966001195,319.17065361154664,1006.9356916902601,545.0227901440936,3180.863385318274,89.8918812763955,95.4815621274139,99.20972154542189,293.51470521715635,151.65082671914686
1980-09-09,157.0623216313857,176.02250730202138,319.87536381297286,1011.364787733217,555.2042114107119,3201.845984524065,90.06245358930487,95.56013266647885,99.22372575130237,292.96133850984603,151.71299020404507
1980-09-10,157.80505680152947,177.06565437722873,322.53217513958134,1028.1497718908859,565.2389689727027,3281.778892871749,90.16054902867711,95.60528011263918,99.23176839852651,296.64760518911874,151.77480972942
1980-09-11,158.65708522207333,178.26382726673424,325.8771055339359,1049.4775432058427,576.9141630267993,3384.2860521085954,89.8918812763955,95.4815621274139,99.20972154542189,300.32724432481945,151.83603845883417
1980-09-12,158.53686934458202,178.09467393114534,328.4455407831513,1066.0021179328262,575.2561998424225,3464.4252731861675,89.81920130104511,95.4480579871669,99.20374695224984,296.83174366813324,151.89852435805872
1980-09-15,158.66709640916588,178.27791526587905,328.4636214637709,1066.1188990636226,577.0523913887081,3464.9938425600008,89.24667891519287,95.18359731946045,99.15652618335528,289.8227205216997,151.9615291629937
1980-09-16,159.7379333913594,179.78611803962008,331.5758356198843,1086.3151741065155,591.9792797678933,3563.7880396703436,89.38834419287672,95.24912483399713,99.16823656624499,295.3581711817558,152.02610196118016
1980-09-17,161.8640596235335,182.78818421737398,336.355120548141,1117.6967479969953,622.4569444682492,3719.117836446325,89.24667891519287,95.18359731946045,99.15652618335528,292.4078202641233,152.08959158724448
1980-09-18,161.3955410169299,182.1257812833389,335.7394509267679,1113.6292123669236,615.6437804894472,3698.86064993118,89.3646663367254,95.23817669547124,99.16628049543135,292.7768492837821,152.15341635991078
1980-09-19,162.24260764807792,183.32373826221382,338.8545395553827,1134.285390999346,628.0021980160227,3802.112630424559,89.69862554226343,95.39244089781637,99.19382525218127,298.304256631887,152.21609462363145
1980-09-22,163.3867953036476,184.9444034520907,339.9596014823714,1141.658446626611,644.9844407729648,3839.1958660867895,88.8273823463433,94.9893052067606,99.12176505501192,307.48387138190003,152.27805737469197
1980-09-23,162.42182997582017,183.57740466935974,338.347351775573,1130.9093532544182,630.6402339240221,3785.1726240795124,88.96620926845452,95.05369170016597,99.13329107069737,306.9342251531983,152.3433209006248
1980-09-24,163.35697454661457,184.90212788684025,338.5828100489296,1132.4760318677697,644.5375909072868,3793.0306486049476,88.9894376797677,95.06445924173221,99.13521796872259,306.201141481116,152.40719032207315
1980-09-25,161.71457730420173,182.57678985308823,336.5362219338124,1118.8946321461299,620.2771812056208,3725.090560502233,88.66658452713735,94.91465759428077,99.1083940620264,305.83450426739216,152.47003498101154
1980-09-26,159.34784601282607,179.23640941471209,330.5986242632176,1079.9533916538317,586.5091403099409,3532.5685212316907,88.32617300732866,94.75637417129325,99.08001325193493,296.64760518911874,152.534143169246
1980-09-29,156.52979975833406,175.2753636460136,321.59223750439276,1022.1957997036462,548.0907679856305,3253.350114893524,88.01345032160998,94.61066077981548,99.05385155581888,287.419275185645,152.60112602599784
1980-09-30,158.4567122340013,177.98190446802613,325.1537395126201,1044.8467933748282,574.1526612282497,3361.9403902586705,88.55248934217721,94.8616443818701,99.09889296429414,291.1156862924897,152.67036792187318
1980-10-01,160.12777279476774,180.33581587867172,328.517891362691,1066.4694606012183,597.4833950241009,3466.700799072212,88.57525804812394,94.87222672544628,99.10078989715926,294.0679207544697,152.74125225148342
1980-10-02,161.08632740326638,181.68887333779543,330.67099485223923,1080.423896937486,611.1774143528053,3534.8743285157725,88.57525804812394,94.87222672544628,99.10078989715926,289.82272052169975,152.812231483361
1980-10-03,162.32227344374374,183.43648633366186,335.4135096477456,1111.4788075561178,629.1738209808607,3688.1660527099875,89.41204896516184,95.26008377357854,99.17019438032995,289.63794294526883,152.88373985726307
1980-10-06,164.70748546836188,186.81863690865947,340.0864070995905,1142.5060231581601,665.0042481253221,3843.466467902526,89.53097846770638,95.31504119227863,99.18000970775253,292.9613385098461,152.95404071857607
1980-10-07,163.9829435677988,185.7899447585761,340.37629551805713,1144.4448305328597,653.965410415854,3853.2412819976985,89.41204896516184,95.26008377357854,99.17019438032995,290.93102793429244,153.02319443844877
1980-10-08,164.62812189415544,186.7059020594274,342.2064051685983,1156.722567804133,663.7884508024856,3915.332776707985,89.15276800675981,95.14012620886844,99.1487538018416,291.6695595701269,153.09337310945594
1980-10-09,164.02265962692394,185.84630326517302,342.8407128690916,1160.9931856964847,654.5669869254682,3937.0075644985664,89.55484587845976,95.32606536194274,99.18197804633633,295.17389978434034,153.16408103598513
1980-10-10,163.2774405373127,184.7893855750698,343.3119268633732,1164.1708074359838,643.3469267663461,3953.1608308098257,89.55484587845976,95.32606536194274,99.18197804633633,295.35817118175584,153.23332971947696
1980-10-13,165.00500644607868,187.2413833319016,345.26961464024504,1177.418697689827,669.5766780205829,4020.742194611708,90.45807176260786,95.7420421562082,99.25611224913375,292.29709839783,153.30329380849963
1980-10-14,164.9950968798984,187.22729976714973,345.5415690795242,1179.2649429063572,669.4240118197552,4030.190632160199,89.79503054740327,95.43691231094682,99.20175902528848,292.2232804430924,153.37328984209836
1980-10-15,166.65864574988606,189.59453367743217,346.2848910201052,1184.3185515576877,695.4139000143444,4056.09091472773,89.91616403022995,95.49275261524214,99.21171669135758,290.19222446912704,153.44288210292802
1980-10-16,165.19336463828665,187.50912028113484,343.6019310800282,1166.1285926823084,672.4833929622008,3963.124066972668,89.53097846770638,95.31504119227863,99.18000970775253,287.04925628567463,153.5108244982064
1980-10-17,164.4991480737105,186.52272581200958,342.315161431784,1157.4542374476182,661.8161509848121,3919.0434157727354,89.12935637015764,95.12928498807338,99.1468149963538,282.4181483736967,153.57923310000086
1980-10-20,165.57981393454608,188.05866999446675,342.1520414115026,1156.3569159708636,678.4761054880579,3913.478823177662,89.0826120380603,95.107634278054,99.14294251230294,283.1598610444395,153.6490434684173
1980-10-21,164.8165922305142,186.9736439258536,340.9017483623191,1147.9632888254987,666.6783680484073,3871.001232619857,88.87355479447598,95.01072583002376,99.12560034205026,283.53061176161634,153.71957152226645
1980-10-22,164.8959321627793,187.08637773869162,343.51130019196626,1165.516578133036,667.8976976939591,3960.0086081853815,88.39380757488466,94.78785012328767,99.08566013462219,280.5626289020556,153.79219075306617
1980-10-23,162.52138580421507,183.7183438151268,339.7240751061243,1140.0850042547543,632.1091525329972,3831.2721006328866,88.48433343525795,94.82995795591468,99.09321198089243,271.2580158772834,153.8659053870168
1980-10-24,162.83984565193236,184.16932721847704,340.37629551805713,1144.4448305328601,636.8248679984188,3853.241281997696,88.64371506084422,94.90403461623018,99.1064905501672,272.74982547304273,153.93953045860297
1980-10-27,160.87677152261227,181.3928985688635,337.079523198269,1122.4920954530617,608.1641319505587,3743.0468758147804,87.85885613285514,94.53851922494022,99.04088675014982,273.30894896643156,154.01287837359052
1980-10-28,161.04642399942753,181.6325066468125,336.0110558654111,1115.4227113908428,610.602782566395,3707.788119977589,87.53146045995993,94.38550205939426,99.013360361387,273.8679067222358,154.08982413838754
1980-10-29,160.9067189547619,181.43519008518055,337.3330727919181,1124.1729374130205,608.5940855955132,3751.4464358577106,87.35897112624272,94.30475419908593,98.99881965533984,274.9853267637067,154.16793403506418
1980-10-30,159.28781285057465,179.15184120645654,333.74787389767005,1100.5220219555372,585.6706220459461,3633.834883974776,87.25190180725923,94.25458616411082,98.98978042922354,275.91600754228995,154.24627123654895
1980-10-31,160.4674356724514,180.8150372031548,334.2366740912793,1103.731819937544,602.3097223884314,3649.7234653775595,87.35897112624272,94.30475419908593,98.99881965533984,273.8679067222357,154.32477344703418
1980-11-03,162.03343452946746,183.0277697686514,334.906541087386,1108.1381805943367,624.9335961234673,3671.5725629151193,87.38045268050024,94.31481532981076,99.00063198019076,278.70532906411927,154.4043803827687
1980-11-05,164.3105830005819,186.25497979386213,340.1226494913584,1142.7483270298078,658.9403406526297,3844.687631065407,87.08175409643492,94.17479058414185,98.975394727115,274.24045336516286,154.48691101851364
1980-11-06,161.90392563776237,182.84457011940788,336.3732470801894,1117.8166160970777,623.0392257297578,3719.7153626834156,86.60038025750644,93.94855746777657,98.93455401336499,264.9044445658977,154.570927856302
1980-11-07,162.1728860185897,183.22507527044195,335.5583677142346,1112.4342565824331,626.9781406024047,3692.9165114946222,86.82917591819927,94.05617397527246,98.95399162195265,260.78154173432915,154.65561772230848
1980-11-10,162.47160987626728,183.64787432900752,334.81603611039964,1107.5423318582634,631.3744078591487,3668.615491137976,86.57970846553837,93.93882634329354,98.93279547616069,261.7193897077061,154.73746666328876
1980-11-11,164.24109107216145,186.1563268479278,338.2930141096142,1130.5479576732193,657.8828425696354,3783.3607334578787,87.27806205477594,94.26684693633824,98.99198993077685,264.5300214870244,154.82212217398438
1980-11-12,167.53818154942957,190.84853162478652,343.2938123149208,1164.0485724990183,709.4515370000101,3952.539049613459,87.53146045995993,94.38550205939426,99.013360361387,265.0916273381019,154.90682399896752
1980-11-13,169.41184557750103,193.5254441449008,347.77179273100256,1194.4597830842265,740.0504877313006,4108.231923325673,87.59652162275114,94.4159359048215,99.01883807547784,262.2818646614413,154.98968606561152
1980-11-14,170.0614186094735,194.455242429695,350.51053671893845,1213.2516356149742,750.882143547511,4205.433326353055,87.12415771735435,94.19468521245646,98.97898231398933,266.0272542243014,155.07202632450176
1980-11-17,170.6513955469837,195.30051228671604,350.20215812194897,1211.1284095838394,760.8208243440071,4194.41304854286,86.78738382364787,94.03652860656183,98.95044466609214,264.53002148702444,155.15629843697468
1980-11-18,172.56514660120413,198.04744547709564,354.13941910555405,1238.375935333283,793.7273918006742,4336.564460229437,87.48820122277611,94.36525947418951,99.00971613722055,266.2143223281712,155.24565404288643
1980-11-19,171.93765556239833,197.1459144871052,356.4264421449321,1254.341570313051,782.8245891009402,4420.586728108189,87.7054192643948,94.46684664446698,99.02799810701737,270.88487785646464,155.33191073516286
1980-11-20,173.2507828267919,199.03346148925388,359.113551286468,1273.2301896724252,805.7679225546956,4520.681546517784,87.57481153675255,94.40578193907372,99.01701065040484,274.9853267637067,155.41840448031655
1980-11-21,171.98670279797614,197.21635191291261,358.33276019247324,1267.7272633370483,783.6727978867935,4491.443491545932,87.2092312439206,94.234582878592,98.98617514590762,272.5634140689673,155.50646025008248
1980-11-24,171.20155373327398,196.08939817287617,354.97429750231856,1244.1924030962214,770.1757202957324,4367.112665813029,87.3375121914203,94.29470226398615,98.99700882694813,264.9044445658978,155.59683799021437
1980-11-25,172.20245540653008,197.52625747392528,357.13444971600234,1259.3047726980017,787.4120027993202,4446.815582909788,87.38045268050024,94.31481532981076,99.00063198019076,268.6444803122882,155.6878366067088
1980-11-26,173.02558364389392,198.70949287063232,360.1305160994205,1280.415421386331,801.7984428958866,4558.952818231755,87.46660593672185,94.35515212668946,99.0078962932348,266.62580512240015,155.77730876832118
1980-11-28,173.3682601228584,199.20250500605937,362.11031575014005,1294.4611336881842,807.8443751831422,4634.074683682223,87.35897112624272,94.30475419908593,98.99881965533984,274.7991358599127,155.8670852417336
1980-12-01,170.12045227664672,194.5397876718466,356.2267570382059,1252.9435210009422,751.8722869277084,4413.207824811493,86.99721150809249,94.13510912241559,98.96823711654837,275.72990783227914,155.9586847265899
1980-12-02,169.88433061077538,194.20166977722639,354.0486999475232,1237.7447258121547,747.917693357088,4333.253625373941,87.01831417483827,94.14501605168101,98.97002432969678,273.68160585861796,156.05179387125042
1980-12-03,169.6284468974788,193.83538725064136,356.2085864549148,1252.816342345151,743.6494442651803,4412.536779346745,87.2092312439206,94.234582878592,98.98617514590762,275.8415698421085,156.1456552849336
1980-12-04,169.4019887876792,193.51134206630448,358.5506429898718,1269.2616835890715,739.8870172774693,4499.589804592434,87.16664999052472,94.21461593609388,98.982575780557,272.93621841314143,156.23855918920083
1980-12-05,166.98490851536917,190.05950829749742,352.79656603607043,1229.048931227025,700.5970439856168,4287.7279146625315,87.3375121914203,94.29470226398615,98.99700882694813,272.3769841846242,156.33278657979358
1980-12-08,163.59551609365636,185.24035217635515,339.8327702231514,1140.8110117233073,648.1184138558015,3834.927556268839,87.25190180725923,94.25458616411082,98.98978042922354,269.54096306534586,156.43328877969313
1980-12-09,163.4663154480779,185.05714515736395,338.38358630438216,1131.1503782168425,646.1771279388813,3786.3811856333323,86.57970846553837,93.93882634329354,98.93279547616069,261.1567394894745,156.53823637365466
1980-12-10,161.25591479369376,181.92846815773447,335.6851310547588,1113.2706922212599,613.6240145940902,3697.076908470531,86.37414673299857,93.84198771142457,98.91528728311935,251.75297730506233,156.644461487173
1980-12-11,160.35756592490787,180.65999685171698,326.9441633899794,1056.327092170039,600.745434203065,3417.428624213259,85.55265547138158,93.45368089099199,98.84493165605173,242.2980116395745,156.7517758896773
1980-12-12,162.22268580812928,183.29554579869242,331.41296318779433,1085.2535608946396,627.7094643642388,3558.5719815458665,86.0898395803954,93.70783743005056,98.89100848848024,253.26095607113487,156.86081790356909
1980-12-15,162.44174545098008,183.60559685491174,336.48189661135746,1118.5352335680668,630.9338798279073,3723.29824250435,86.06968495280927,93.69831795904656,98.88928454114001,253.44936178599892,156.96617964357077
1980-12-16,163.58558435822818,185.22626764046578,332.6074948348574,1093.0515908995644,647.9690337480464,3596.9454208617726,85.80950102506884,93.57531393515441,98.86699582534519,250.62113387530655,157.07301368430825
1980-12-17,165.8571190925344,188.4532110468732,336.48189661135746,1118.5352335680668,682.8004829443661,3723.29824250435,86.33328468597131,93.82272235926183,98.91180236869053,253.63774720357753,157.1794741932098
1980-12-18,165.96602843939525,188.60820940235706,340.08640709959025,1142.506023158159,684.5043870877535,3843.4664679025177,86.6417874008465,93.96804568267687,98.9380753265118,251.75297730506233,157.2845396313669
1980-12-19,166.65864574988612,189.59453367743214,343.5294428825639,1165.6390797566705,695.4139000143434,3960.63213723926,87.50981938290887,94.37537611305795,99.01153749244325,260.9691503849289,157.3879517515839
1980-12-22,168.7123183796192,192.5251475482999,346.9376392055611,1188.7652437481784,728.5150270872546,4078.926263239267,88.5070270843942,94.84051001526646,99.09510400895137,259.6554783455355,157.48331947923785
1980-12-23,168.23897907658122,191.84888422299892,347.064581569158,1189.630971382901,720.7849925907419,4083.3770377136134,88.10231542853721,94.65209731811221,99.06129455553892,264.15552157877664,157.57816975267448
1980-12-24,168.81089407089846,192.66604367368558,347.5723153286283,1193.0967734436715,730.1325033406006,4101.211153983693,88.01345032160998,94.61066077981548,99.05385155581888,264.5300214870244,157.67083875654683
1980-12-26,169.49061940125364,193.63815305138186,349.6398486464883,1207.2615996254249,741.3578724915038,4174.367680929502,88.25875971885543,94.72498761828888,99.07438086021307,264.5300214870244,157.76497007703253
1980-12-29,167.97256667358377,191.46846997762478,347.02830816922074,1189.3835603102036,716.4609176604911,4082.104913066963,88.34869321330694,94.76685619840559,99.08189393241771,264.5300214870244,157.85749281497394
1980-12-30,168.26857199699387,191.89114978480936,348.1526367349747,1197.0642030911963,721.2664914864813,4121.658209943331,88.03563058161335,94.62100533748364,99.05570994027467,264.5300214870244,157.9483399902383
1980-12-31,168.69259843279937,192.49696394427326,351.5627529587981,1220.5102050312555,728.1917700374945,4243.1803414394035,87.99129399645719,94.60032591150906,99.05199474394642,266.2765693372797,158.0388548217699
1981-01-02,169.26411329807635,193.3141057482131,353.7583277198498,1235.7254382052242,737.6032010031286,4322.667659481213,87.9470529684539,94.57968517471048,99.04828582743872,264.3358576045948,158.1305760647615
1981-01-05,170.86758627995735,195.61043724702046,354.8835416066172,1243.5594640499216,764.486891772044,4363.78500140168,88.71239944901804,94.93593418256523,99.11220604399979,267.0522795237681,158.22459678341028
1981-01-06,171.0149413937758,195.82173814228588,354.7020604565183,1242.2942801895722,766.9931211186059,4357.135850696971,88.5980518705341,94.88281920016848,99.10268847055293,268.40898757811453,158.3114169383324
1981-01-07,168.02191283380506,191.53892061071275,342.51451023270624,1158.7959758955435,717.2603973869892,3925.8510348244145,88.14689250892613,94.67287406711962,99.0650255438091,258.6960314477458,158.3986702430709
1981-01-08,166.02542294524469,188.69274970612636,339.8690114705277,1141.0531290560466,685.4349423659107,3836.146877400295,88.12459188638168,94.66248080490406,99.06315925675818,257.72185465448774,158.49188605631846
1981-01-09,166.44104479515622,189.284546532946,343.07633026956034,1162.5815266242992,691.9727407012723,3945.079060073467,87.61825479818292,94.42609924284666,99.02066702426976,259.0855532230891,158.58682917674122
1981-01-12,166.4806223474379,189.3409198014215,344.4901230349305,1172.1348562923858,692.5976880464103,3993.742123654037,87.68359329586008,94.45664565385485,99.02616303813882,253.4290972718868,158.6846611695723
1981-01-13,166.25305567665933,189.0168257865733,343.7831958913676,1167.3531217939571,689.0099786845141,3969.3599746680848,87.7054192643948,94.46684664446698,99.02799810701737,253.0383261595662,158.78268232142466
1981-01-14,166.4311575716306,189.2704639490602,345.6503423267731,1180.0037859985262,691.8166818662418,4033.973838015633,87.66179059114178,94.44645410099474,99.02432950307603,256.1620599520501,158.88089290812292
1981-01-15,167.17268282910644,190.32721959943686,347.0464586833795,1189.5073568693317,703.5929739197095,4082.7414269335795,87.31607583398798,94.28465950869513,98.99519949257368,251.6699371583319,158.97813251319133
1981-01-16,167.71592681879997,191.10215410090476,349.36778608113485,1205.392926614366,712.3135577411,4164.69201294428,87.57481153675255,94.40578193907372,99.01701065040484,253.81978107112033,159.07652851254892
1981-01-19,167.3208789744811,190.53855760481048,350.1840283313759,1211.0036412425752,705.964090779162,4193.765756792356,87.3375121914203,94.29470226398615,98.99700882694813,253.0383261595662,159.17433978850943
1981-01-20,164.62812189415536,186.70590205942736,344.99769692864135,1175.5741406143566,663.7884508024848,4011.309762255999,87.59652162275114,94.4159359048215,99.01883807547784,255.18648927424388,159.27634573718217
1981-01-21,164.3403585849674,186.297253381654,343.8556863540948,1167.8430079577574,659.3938355871012,3971.855629960075,87.08175409643492,94.17479058414185,98.975394727115,254.01509028251473,159.37537881313276
1981-01-22,163.24761457863602,184.74710978230073,342.09767802000016,1155.9913241076335,642.9008351628971,3911.625465592138,86.78738382364787,94.03652860656183,98.95044466609214,249.7132216805463,159.4769961271727
