Date,SCHD,JEPQ,JEPI,TLT,SHY,SGOV,QQQ,SPY,VYM,HDV,DVY,NOBL,DHS,SPYD,QYLD,RYLD,XYLD,PFFD
2014-11-21,,,,,,,,,,,,,0.159,,,,,
2014-11-26,,,,,,,,,,,,,,,,,0.183,
2014-12-01,,,,0.277,0.029,,,,,,,,,,,,,
2014-12-18,,,,,,,,,0.562,,,,,,,,,
2014-12-19,,,,,,,0.387,1.135,,,,,0.204,,,,,
2014-12-22,0.091667,,,,,,,,,,,0.239,,,,,,
2014-12-24,,,,0.261,0.033,,,,,0.665,0.62,,,,0.144,,0.684,
2015-01-21,,,,,,,,,,,,,,,0.23,,,
2015-01-22,,,,,,,,,,,,,,,,,0.194,
2015-01-26,,,,,,,,,,,,,0.109,,,,,
2015-02-02,,,,0.279,0.033,,,,,,,,,,,,,
2015-02-23,,,,,,,,,,,,,0.181,,,,,
2015-02-25,,,,,,,,,,,,,,,,,0.067,
2015-03-02,,,,0.252,0.031,,,,,,,,,,,,,
2015-03-20,,,,,,,0.248,0.931,,,,,,,,,,
2015-03-23,,,,,,,,,0.462,,,,0.137,,,,,
2015-03-25,,,,,,,,,,0.717,0.598,0.198,,,0.16,,0.069,
2015-04-01,,,,0.273,0.037,,,,,,,,,,,,,
2015-04-20,,,,,,,,,,,,,0.17,,,,,
2015-04-22,,,,,,,,,,,,,,,0.153,,0.131,
2015-05-01,,,,0.258,0.035,,,,,,,,,,,,,
2015-05-20,,,,,,,,,,,,,,,0.169,,0.071,
2015-05-22,,,,,,,,,,,,,0.181,,,,,
2015-06-01,,,,0.264,0.037,,,,,,,,,,,,,
2015-06-19,,,,,,,0.254,1.03,,,,,,,,,,
2015-06-22,0.102,,,,,,,,,,,,0.165,,,,,
2015-06-24,,,,,,,,,,0.725,0.646,0.258,,,0.15,,0.189,
2015-06-26,,,,,,,,,0.56,,,,,,,,,
2015-07-01,,,,0.258,0.038,,,,,,,,,,,,,
2015-07-22,,,,,,,,,,,,,,,0.152,,0.058,
2015-08-03,,,,0.267,0.038,,,,,,,,,,,,,
2015-08-24,,,,,,,,,,,,,0.162,,,,,
2015-08-26,,,,,,,,,,,,,,,0.204,,0.37,
2015-09-01,,,,0.263,0.04,,,,,,,,,,,,,
2015-09-18,,,,,,,0.26,1.033,,,,,,,,,,
2015-09-21,0.099667,,,,,,,,,,,,0.175,,,,,
2015-09-23,,,,,,,,,0.528,,,0.248,,,0.222,,0.396,
2015-09-25,,,,,,,,,,0.722,0.652,,,,,,,
2015-10-01,,,,0.256,0.04,,,,,,,,,,,,,
2015-10-21,,,,,,,,,,,,,,,0.214,,0.04,
2015-10-26,,,,,,,,,,,,,0.215,,,,,
2015-11-02,,,,0.267,0.041,,,,,,,,,,,,,
2015-11-23,,,,,,,,,,,,,0.16,,,,,
2015-11-25,,,,,,,,,,,,,,,0.181,,0.085,
