Date,SCHD,SPY,QQQ,TQQQ,TLT,SGOV,IAU
2002-06-17,1422.6347128601326,1720.9049390109178,2651.415510809578,1750106.1841465412,111.1378917107431,633.2870301449022,163.3894378595091
2002-06-18,1425.9250072978307,1734.9541583708692,2694.1201029045496,1835474.9472046471,111.19818813680942,633.3307394351398,164.10707156805253
2002-06-19,1416.8912519136586,1694.459497039297,2538.1544355421574,1536560.5829829772,111.74725192461734,633.3744517421796,164.37606697160538
2002-06-20,1413.8842393556429,1672.8074564837439,2456.4570707860566,1393786.6024183943,111.25862513215598,633.4176527679043,165.8991742567857
2002-06-21,1409.0206363332807,1646.6525178473598,2397.0431378994545,1295688.9171039,111.56293907096804,633.461371073678,166.52574685717377
2002-06-24,1400.7500083162145,1655.2772091027446,2444.391102425831,1373478.7616593693,111.19818813680942,633.5048352124231,166.3467610081022
2002-06-25,1389.8165423285523,1618.1240108189525,2363.622161850683,1242580.6778388368,111.07773527731327,633.5485595355037,164.4657179355837
2002-06-26,1384.2224535104212,1620.7782513119096,2381.2605525865865,1270425.223738288,111.62423178446235,633.5922868764253,164.6001811137922
2002-06-27,1400.5662737713385,1649.1394345878375,2433.250012254404,1354903.0286314536,111.01771826326218,633.6352455225871,164.06223279463276
2002-06-28,1411.5967606960985,1641.3448079386474,2423.036929088381,1338021.9318783914,110.89810021704194,633.6782070814185,161.50346938584875
2002-07-01,1397.8870147102396,1609.3331524268908,2306.9920413925206,1155929.1640084488,110.95784009869263,633.721171553118,161.72815604326738
2002-07-02,1375.398717781568,1575.1667216787139,2223.4388712133846,1035563.0484246546,111.4407853516578,633.7643962278097,161.1888319766889
2002-07-03,1358.0029215599068,1584.1233616688537,2297.707799582998,1142118.0613479344,111.37992315435284,633.8078811582368,160.33436701046307
2002-07-05,1387.2225227777487,1647.1498626415969,2445.3182750801407,1375032.2354552906,110.77903305276826,633.8513690723264,160.33436701046307
2002-07-08,1379.052751630624,1626.5834987841579,2356.1945598152906,1230977.6389980847,111.01771826326218,633.894859970283,160.87228399815703
2002-07-09,1349.04438040991,1585.615781590161,2289.3534420688434,1129784.362679223,111.37992315435284,633.9386112127618,162.66950542417783
2002-07-10,1312.8348463990467,1527.8968941414812,2218.796958896397,1029132.0422314547,111.9328780428025,633.9821080967264,162.04080661914037
2002-07-11,1314.0971162896317,1540.3360079224217,2302.349086136664,1149008.582039418,111.99504811668687,634.025607965174,163.16323623394396
2002-07-12,1293.2229231194005,1523.418670531061,2302.349086136664,1149008.582039418,112.11983404941147,634.0691108183084,162.4001062479461
2002-07-15,1292.6918395868563,1531.5451495303598,2373.8339934900637,1258651.4246856894,111.87085573180136,634.1123592251432,164.19488457332184
2002-07-16,1266.2635865602454,1502.0233986832316,2338.5565862549347,1203713.4370147013,111.31920327683886,634.1556105818532,163.11836056472998
2002-07-17,1268.7899511916203,1505.0083349104939,2381.2605525865865,1270425.2237382832,111.56293907096804,634.199122354951,163.2081101157274
2002-07-18,1234.8777958343212,1456.245605528706,2295.850951221093,1139369.066492816,111.68566920078075,634.2426371135531,162.93884000087874
2002-07-19,1185.9901860255413,1404.99557386784,2227.151316410551,1040725.5273596533,111.99504811668687,634.2861548578647,165.98682607390288
